FID,OBJECTID,SYSTEMSTOP,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,STATUS,PUBLIC_NAM,POINT_X,POINT_Y
41,42,11409.000000000000000,MONTROSE,LONG,WB,NS,78, ,CHICAGO,1,Montrose & Long,-87.762151220000007,41.960635760000002
42,43,11069.000000000000000,DIVERSEY,KEDZIE,WB,FS,76, ,CHICAGO,1,Diversey & Kedzie,-87.707304980000004,41.932118180000003
43,44,9476.000000000000000,87TH STREET,DOBSON,WB,NT,87, ,CHICAGO,1,87th Street & Dobson,-87.598956999999999,41.736781999999998
44,45,17166.000000000000000,MADISON,KOSTNER,WB,FS,20,N20,CHICAGO,1,Madison & Kostner,-87.735738530000006,41.880720529999998
45,46,17200.000000000000000,DEVON,SACRAMENTO,WB,FS,155, ,CHICAGO,1,Devon & Sacramento,-87.704697390000007,41.997534510000001
46,47,14958.000000000000000,MADISON,LARAMIE,WB,FS,20,N20,CHICAGO,1,Madison & Laramie,-87.755334099999999,41.880467549999999
47,48,10096.000000000000000,69TH STREET,HALSTED,WB,NS,67, ,CHICAGO,1,69th Street & Halsted,-87.644377370000001,41.768907169999999
48,49,4756.000000000000000,FOSTER,CICERO,EB,NS,92, ,CHICAGO,1,Foster & Cicero,-87.748219620000000,41.975262499999999
49,50,9186.000000000000000,51ST STREET,STATE,EB,NS,15, ,CHICAGO,1,51st Street & State,-87.626114299999998,41.801872260000003
50,51,15480.000000000000000,BELMONT,MENARD,EB,FS,77,N77,CHICAGO,1,Belmont & Menard,-87.771127359999994,41.938453819999999
51,52,6690.000000000000000,POLK,WOOD,EB,NS,157, ,CHICAGO,1,Polk & Wood,-87.671593000000001,41.871467000000003
52,53,11028.000000000000000,DIVERSEY,SHEFFIELD,EB,FS,76, ,CHICAGO,1,Diversey Brown Line Station,-87.653621189999996,41.932578450000001
53,54,2731.000000000000000,79TH STREET,LAWNDALE (west leg),EB,NS,79, ,CHICAGO,1,79th Street & Lawndale,-87.714611239999996,41.749517279999999
54,55,315.000000000000000,ROOSEVELT,CLARK,EB,NS,"12,18,N62",N62,CHICAGO,1,Roosevelt & Clark,-87.630606110000002,41.867238610000001
55,56,8160.000000000000000,47TH STREET,DAMEN,EB,NS,"47,48", ,CHICAGO,1,47th Street & Damen,-87.674834860000004,41.808446660000001
56,57,14517.000000000000000,CHICAGO,HOMAN,EB,FS,66,N66,CHICAGO,1,Chicago & Homan,-87.711042489999997,41.895432990000003
57,58,10812.000000000000000,71ST STREET,YATES,EB,NS,71, ,CHICAGO,1,71st Street & Yates,-87.566642999999999,41.765799999999999
58,59,1721.000000000000000,DEVON,KEDZIE,EB,FS,155, ,CHICAGO,1,Devon & Kedzie,-87.709049570000005,41.997326700000002
59,60,12499.000000000000000,ADDISON,LARAMIE,EB,NS,152, ,CHICAGO,1,Addison & Laramie,-87.757035599999995,41.945903590000000
60,61,2033.000000000000000,DIVISION,WELLS,EB,NS,70, ,CHICAGO,1,Division & Wells,-87.634659850000006,41.903785040000002
61,62,21.000000000000000,JACKSON,KEELER,EB,FS,126, ,CHICAGO,1,Jackson & Keeler,-87.730199999999996,41.876963000000003
62,63,14506.000000000000000,87TH STREET,HALSTED,EB,FS,"24,87",N87,CHICAGO,1,87th Street & Halsted,-87.643131130000000,41.735976479999998
63,64,17131.000000000000000,DIVISION,WOOD,EB,FS,70, ,CHICAGO,1,Division & Wood,-87.672091949999995,41.903194900000003
64,65,12055.000000000000000,LUNT,CLARK,EB,NS,96, ,CHICAGO,1,Lunt & Clark,-87.674091480000001,42.008930999999997
65,66,12969.000000000000000,59TH STREET,CALIFORNIA,EB,NS,59, ,CHICAGO,1,59th Street & California,-87.693741329999995,41.786335620000003
66,67,7220.000000000000000,69TH STREET,KING DRIVE,EB,NS,"N5,30,67",N5,CHICAGO,1,69th Street & King Drive,-87.615482529999994,41.769280549999998
67,68,189.000000000000000,HARRISON,OAKLEY,EB,NS,7, ,CHICAGO,1,Harrison & Oakley,-87.683913000000004,41.873882000000002
68,69,10285.000000000000000,CICERO,LEXINGTON,NB,NS,54, ,CHICAGO,1,Cicero & Lexington (Blue Line),-87.744821999999999,41.871076000000002
69,70,14943.000000000000000,EWING,106TH STREET,NB,FS,30, ,CHICAGO,1,Ewing & 106th Street,-87.535193359999994,41.702980150000002
70,71,8959.000000000000000,DAMEN,ARGYLE,NB,NS,50, ,CHICAGO,1,Damen & Argyle,-87.679220000000001,41.972304999999999
71,72,17192.000000000000000,NARRAGANSETT,GRAND,NB,FS,86, ,CHICAGO,1,Narragansett & Grand,-87.785326019999999,41.922758160000001
72,73,17213.000000000000000,PULASKI,14TH STREET,NB,FS,53, ,CHICAGO,1,Pulaski & 14th Street,-87.724975740000005,41.862688900000002
73,74,17344.000000000000000,WESTERN,HIRSCH,NB,FS,49,N49,CHICAGO,1,Western & Hirsch,-87.686992230000001,41.906811759999997
74,75,8703.000000000000000,DAMEN,87TH STREET,SEB,TERM,"48,95", ,CHICAGO,1,Damen & 87th Street Terminal,-87.672983239999994,41.736234580000001
75,76,5019.000000000000000,CHESTNUT,MIES VAN DER ROHE,WB,MB,"10,125", ,CHICAGO,1,Chestnut & Mies Van Der Rohe,-87.622673070000005,41.898460249999999
76,77,15121.000000000000000,FOSTER,JEWEL PRKING ENT,WB,MB,92, ,CHICAGO,1,Foster & Jewel Prking Ent,-87.729345839999993,41.975600110000002
77,78,5788.000000000000000,HALSTED,ERIE,SB,NS,8, ,CHICAGO,1,Halsted & Erie,-87.647744000000003,41.893450999999999
78,79,9943.000000000000000,NORTHWEST HWY,NAGLE,SEB,NS,68, ,CHICAGO,1,Northwest Hwy & Nagle,-87.787820749999995,41.985939879999997
79,80,8630.000000000000000,79TH STREET,WESTERN,EB,NS,169, ,CHICAGO,1,79th Street & Western,-87.683066999999994,41.750000999999997
80,81,6511.000000000000000,WENTWORTH,4200 SOUTH,SB,MB,24, ,CHICAGO,1,4200 S Wentworth,-87.631253000000001,41.818049999999999
81,82,6496.000000000000000,WENTWORTH,27TH STREET,SB,NS,24, ,CHICAGO,1,Wentworth & 27th Street,-87.631941960000006,41.844130739999997
