1,1111, , , , ,325.559932420000000,0,-87.5437393,41.6471786
2,1111, , , , ,347.976735932999990,1,-87.7120972,41.8110085
3,1111, , , , ,273.951761612999970,2,-87.6495590,41.8392982
4,1111, , , , ,349.225740299999980,3,-87.6702652,41.9268188
5,1111, , , , ,793.709013370999970,4,-87.7537918,41.9731712
6,1111, , , , ,607.997949608999990,5,-87.7836685,41.9871063
7,1111, , , , ,412.325067907999990,6,-87.6952362,42.0082893
8,1112, , , , ,981.871221374000020,7,-87.6941071,42.0182838
9,1130, , , , ,393.326371844999980,8,-87.5950699,41.7493706
10,1130, , , , ,388.153878195999990,9,-87.6957779,41.7628555
